"","Samples","Time","Treatment","Fragment","TreatmentTank","Antibiotic","Dose","Pretreatment","PretreatmentAbx","PretreatmentDose","Tank","CoralID","Sample_control","quant_reading","PreQC","PostQC","is.neg","PostDecontam","Observed","Shannon","InvSimpson","PD","SR"
"113","G7_T0_S2_2_b","0","Streptomycin High","b","S2_2","Streptomycin","High","Pretreatment","Pretreatment","Pretreatment","17","S2_2_b","True Sample"," 3.704"," 78397","19688","FALSE","15848",12,1.86385911792703,5.11277764939025,1.6468,12
"114","G7_T0_S2_2_c","0","Streptomycin High","c","S2_2","Streptomycin","High","Pretreatment","Pretreatment","Pretreatment","17","S2_2_c","True Sample","23.154"," 82151","14445","FALSE","14315",16,2.10827763602729,5.3614703296232,2.34192,16
"115","G7_T0_S2_2_d","0","Streptomycin High","d","S2_2","Streptomycin","High","Pretreatment","Pretreatment","Pretreatment","17","S2_2_d","True Sample","25.158"," 70043","14074","FALSE","13965",10,0.836816609383314,1.59166183119802,1.55231,10
"116","G7_T0_S2_3_a","0","Streptomycin High","a","S2_3","Streptomycin","High","Pretreatment","Pretreatment","Pretreatment","18","S2_3_a","True Sample","22.556"," 78649","13449","FALSE","13449",8,0.417959063792036,1.19386677210898,1.0982,8
"117","G7_T0_S2_3_b","0","Streptomycin High","b","S2_3","Streptomycin","High","Pretreatment","Pretreatment","Pretreatment","18","S2_3_b","True Sample","11.209"," 75926","13894","FALSE","13626",15,2.20060196698902,7.12816091167467,2.32137,15
"118","G7_T0_S2_3_c","0","Streptomycin High","c","S2_3","Streptomycin","High","Pretreatment","Pretreatment","Pretreatment","18","S2_3_c","True Sample"," 9.376"," 79454","15293","FALSE","12431",13,2.1284521354329,6.6241800589923,2.07062,13
"119","G7_T0_S2_3_d","0","Streptomycin High","d","S2_3","Streptomycin","High","Pretreatment","Pretreatment","Pretreatment","18","S2_3_d","True Sample"," 6.363"," 66064","10035","FALSE"," 9497",17,2.44140535265737,8.91825173727544,2.49125,17
"120","G7_T12_A1_1_a","12","Ampicillin Low","a","A1_1","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","7","A1_1_a","True Sample"," 4.467"," 71110","10912","FALSE","10052",14,1.93266215815949,5.33801598330098,1.96719,14
"121","G7_T12_A1_1_b","12","Ampicillin Low","b","A1_1","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","7","A1_1_b","True Sample","16.692"," 76556"," 8744","FALSE"," 8545",25,2.42390574227049,6.52194896705372,3.00548,25
"122","G7_T12_A1_1_c","12","Ampicillin Low","c","A1_1","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","7","A1_1_c","True Sample","11.107"," 66757","11978","FALSE","11592",17,1.89809184287522,4.50343017269394,2.87873,17
"123","G7_T12_A1_1_d","12","Ampicillin Low","d","A1_1","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","7","A1_1_d","True Sample"," 6.243"," 49693"," 9370","FALSE"," 9370",13,2.01913122413855,6.38377194102416,2.23709,13
"124","G7_T12_A1_2_a","12","Ampicillin Low","a","A1_2","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","8","A1_2_a","True Sample","13.219"," 71244","13949","FALSE","12836",18,2.27816213210905,6.31956897506197,2.2305,18
"125","G7_T12_A1_2_b","12","Ampicillin Low","b","A1_2","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","8","A1_2_b","True Sample"," 7.631"," 64084","11023","FALSE","10530",17,2.22575321130903,6.2441897814084,2.42274,17
"126","G7_T12_A1_2_c","12","Ampicillin Low","c","A1_2","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","8","A1_2_c","True Sample","12.140"," 61867"," 9376","FALSE"," 9058",16,1.85833389705026,3.83524405192,2.59972,16
"127","G7_T12_A1_2_d","12","Ampicillin Low","d","A1_2","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","8","A1_2_d","True Sample","12.432"," 70188","12646","FALSE","12159",28,2.95171839706898,14.9370909477644,3.74077,28
"128","G7_T12_A1_3_a","12","Ampicillin Low","a","A1_3","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","9","A1_3_a","True Sample"," 4.284"," 68835","13198","FALSE","11754",17,1.28882481072518,2.06513297225998,2.18225,17
"129","G7_T12_A1_3_b","12","Ampicillin Low","b","A1_3","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","9","A1_3_b","True Sample","16.511"," 73330"," 7686","FALSE"," 7686",17,1.7590175944569,3.16831723321248,2.40362,17
"130","G7_T12_A1_3_c","12","Ampicillin Low","c","A1_3","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","9","A1_3_c","True Sample"," 4.711"," 66969","12117","FALSE"," 9445",11,1.35659992502161,2.19573830031587,1.81486,11
"131","G7_T12_A1_3_d","12","Ampicillin Low","d","A1_3","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","9","A1_3_d","True Sample"," 8.301"," 75704","10128","FALSE"," 8563",13,2.21776530186801,7.53159957919447,2.38788,13
"132","G7_T12_A2_1_a","12","Ampicillin High","a","A2_1","Ampicillin","High","Ampicillin High","Ampicillin","High","10","A2_1_a","True Sample"," 2.974"," 64816"," 8909","FALSE"," 5120",10,1.65451949438453,3.79838766040591,1.5904,10
"133","G7_T12_A2_1_b","12","Ampicillin High","b","A2_1","Ampicillin","High","Ampicillin High","Ampicillin","High","10","A2_1_b","True Sample"," 7.559"," 73359","13109","FALSE","11907",15,2.0845876339911,5.91717937053519,1.84282,15
"134","G7_T12_A2_1_c","12","Ampicillin High","c","A2_1","Ampicillin","High","Ampicillin High","Ampicillin","High","10","A2_1_c","True Sample"," 7.538"," 81746","15458","FALSE","14308",17,2.31056850485199,7.62989282136956,2.36215,17
"135","G7_T12_A2_1_d","12","Ampicillin High","d","A2_1","Ampicillin","High","Ampicillin High","Ampicillin","High","10","A2_1_d","True Sample"," 5.035"," 75712","15325","FALSE","15325",10,1.01978059935931,1.83422750701482,1.5159,10
"136","G7_T12_A2_2_a","12","Ampicillin High","a","A2_2","Ampicillin","High","Ampicillin High","Ampicillin","High","11","A2_2_a","True Sample"," 5.029"," 62584","11999","FALSE","11690",18,2.46983255644022,9.98097227445598,2.19783,18
"137","G7_T12_A2_2_b","12","Ampicillin High","b","A2_2","Ampicillin","High","Ampicillin High","Ampicillin","High","11","A2_2_b","True Sample"," 2.932"," 58006","12395","FALSE","10411",13,1.87839765530901,4.71468428022424,1.90194,13
"138","G7_T12_A2_2_c","12","Ampicillin High","c","A2_2","Ampicillin","High","Ampicillin High","Ampicillin","High","11","A2_2_c","True Sample"," 4.176"," 66410","12335","FALSE","12106",9,1.55605694933334,3.51450464181715,1.48672,9
"139","G7_T12_A2_2_d","12","Ampicillin High","d","A2_2","Ampicillin","High","Ampicillin High","Ampicillin","High","11","A2_2_d","True Sample"," 3.533"," 64630","11659","FALSE","11114",11,2.0221424835623,6.3536276672529,1.87415,11
"140","G7_T12_A2_3_a","12","Ampicillin High","a","A2_3","Ampicillin","High","Ampicillin High","Ampicillin","High","12","A2_3_a","True Sample"," 8.100"," 39966"," 6446","FALSE"," 6446",17,1.49955699191811,3.02927491275688,2.45866,17
"141","G7_T12_A2_3_b","12","Ampicillin High","b","A2_3","Ampicillin","High","Ampicillin High","Ampicillin","High","12","A2_3_b","True Sample"," 6.800"," 23462"," 4909","FALSE"," 4258",11,1.55886651412383,2.96193065475092,1.51341,11
"142","G7_T12_A2_3_c","12","Ampicillin High","c","A2_3","Ampicillin","High","Ampicillin High","Ampicillin","High","12","A2_3_c","True Sample"," 2.100"," 51350","10616","FALSE"," 6787",14,2.01656135703236,6.32996646636965,2.24874,14
"143","G7_T12_A2_3_d","12","Ampicillin High","d","A2_3","Ampicillin","High","Ampicillin High","Ampicillin","High","12","A2_3_d","True Sample"," 2.000"," 71399","14146","FALSE","14146",16,2.17070487151344,6.41252545772607,2.31029,16
"144","G7_T12_B2_a","12","Blank","a","B2","Blank","Blank","Blank","Blank","Blank","2","B2_a","True Sample","22.577"," 61377","11795","FALSE","11624",11,0.637961829561604,1.30775107198971,1.66831,11
"145","G7_T12_B2_b","12","Blank","b","B2","Blank","Blank","Blank","Blank","Blank","2","B2_b","True Sample"," 5.680"," 62555","13143","FALSE","13143",23,1.42190422128805,2.03466085459011,3.38014,23
"146","G7_T12_B2_c","12","Blank","c","B2","Blank","Blank","Blank","Blank","Blank","2","B2_c","True Sample","27.552"," 57709","12049","FALSE","11581",40,2.65475762438511,6.20342160884995,4.28837,40
"147","G7_T12_B2_d","12","Blank","d","B2","Blank","Blank","Blank","Blank","Blank","2","B2_d","True Sample","25.046"," 72903"," 9941","FALSE"," 9822",34,2.54150031512804,6.62129578228756,3.65873,34
"148","G7_T12_B3_a","12","Blank","a","B3","Blank","Blank","Blank","Blank","Blank","3","B3_a","True Sample"," 7.721"," 63773","12039","FALSE","12039",13,1.33549433519421,2.78196803986093,2.19296,13
"149","G7_T12_B3_b","12","Blank","b","B3","Blank","Blank","Blank","Blank","Blank","3","B3_b","True Sample","25.266"," 65537","13298","FALSE","13081",10,0.728362083789597,1.41795330804536,1.82158,10
"150","G7_T12_B3_c","12","Blank","c","B3","Blank","Blank","Blank","Blank","Blank","3","B3_c","True Sample","27.994"," 73135","14413","FALSE","14378",17,1.58596269913267,3.00133883722851,2.37019,17
"151","G7_T12_B3_d","12","Blank","d","B3","Blank","Blank","Blank","Blank","Blank","3","B3_d","True Sample","22.736"," 75292","15431","FALSE","15354",22,1.84950061780601,3.52586134677185,3.09677,22
"152","G7_T12_B4_a","12","Blank","a","B4","Blank","Blank","Blank","Blank","Blank","4","B4_a","True Sample"," 7.970"," 75980"," 9522","FALSE"," 8080",11,1.78627912729426,4.35620059850711,2.14822,11
"153","G7_T12_B4_b","12","Blank","b","B4","Blank","Blank","Blank","Blank","Blank","4","B4_b","True Sample"," 4.449"," 58083","11105","FALSE"," 9981",15,1.75198300909835,3.50760518957203,1.99251,15
"154","G7_T12_B4_c","12","Blank","c","B4","Blank","Blank","Blank","Blank","Blank","4","B4_c","True Sample","12.050"," 83990","17247","FALSE","16906",12,0.986774748948443,1.66528647723433,1.91063,12
"155","G7_T12_B4_d","12","Blank","d","B4","Blank","Blank","Blank","Blank","Blank","4","B4_d","True Sample","24.707"," 56837","11138","FALSE","11082",14,1.05367826572088,1.80313072539084,2.23486,14
"156","G7_T12_B5_a","12","Blank","a","B5","Blank","Blank","Blank","Blank","Blank","5","B5_a","True Sample"," 8.947"," 66935","13587","FALSE","13288",14,1.36049292939853,2.17957007021354,2.07883,14
"157","G7_T12_B5_b","12","Blank","b","B5","Blank","Blank","Blank","Blank","Blank","5","B5_b","True Sample"," 6.805"," 54874","10419","FALSE"," 7793",16,2.09739825582812,5.52270405728767,2.07217,16
"158","G7_T12_B5_c","12","Blank","c","B5","Blank","Blank","Blank","Blank","Blank","5","B5_c","True Sample"," 7.249"," 64076","12306","FALSE","11437",14,2.02045272914267,5.51067660528214,1.93584,14
"159","G7_T12_B5_d","12","Blank","d","B5","Blank","Blank","Blank","Blank","Blank","5","B5_d","True Sample","19.266"," 75991","14226","FALSE","14130",19,1.2472567213954,2.05683918775585,2.92723,19
"160","G7_T12_B6_a","12","Blank","a","B6","Blank","Blank","Blank","Blank","Blank","6","B6_a","True Sample"," 8.409"," 55991","11548","FALSE","11309",18,2.25935069444528,6.36905677835784,2.31792,18
"161","G7_T12_B6_b","12","Blank","b","B6","Blank","Blank","Blank","Blank","Blank","6","B6_b","True Sample","20.300"," 70581","14742","FALSE","14502",21,1.52175743189248,2.50510640890391,2.96772,21
"162","G7_T12_B6_c","12","Blank","c","B6","Blank","Blank","Blank","Blank","Blank","6","B6_c","True Sample"," 9.803"," 71779","14882","FALSE","14244",11,1.79075169959695,3.9305370339916,1.8462,11
"163","G7_T12_B6_d","12","Blank","d","B6","Blank","Blank","Blank","Blank","Blank","6","B6_d","True Sample"," 6.844"," 68811","13422","FALSE","12874",8,0.925926125810147,1.63516167955436,1.41915,8
"164","G7_T12_C1_1_a","12","Ciprofloxacin Low","a","C1_1","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","19","C1_1_a","True Sample"," 8.900"," 68630"," 9344","FALSE"," 8978",17,1.617361970339,2.56473388321228,2.8008,17
"165","G7_T12_C1_1_b","12","Ciprofloxacin Low","b","C1_1","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","19","C1_1_b","True Sample"," 5.700"," 58177","11988","FALSE"," 8955",23,2.2733479775555,5.22731502100335,2.52871,23
"166","G7_T12_C1_1_c","12","Ciprofloxacin Low","c","C1_1","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","19","C1_1_c","True Sample","13.600"," 69826","13429","FALSE","13429",13,0.715741349518357,1.40766193771085,2.57046,13
"167","G7_T12_C1_1_d","12","Ciprofloxacin Low","d","C1_1","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","19","C1_1_d","True Sample"," 5.400"," 63908","11838","FALSE","11267",8,0.74352116340686,1.44033443413293,1.77152,8
"168","G7_T12_C1_2_a","12","Ciprofloxacin Low","a","C1_2","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","20","C1_2_a","True Sample","11.200","103272","18929","FALSE","17766",33,1.8205230003145,2.85650169493385,4.2075,33
"169","G7_T12_C1_2_b","12","Ciprofloxacin Low","b","C1_2","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","20","C1_2_b","True Sample"," 8.600"," 69908","10592","FALSE","10216",14,1.16315239082453,2.02855425425153,2.14029,14
"170","G7_T12_C1_2_c","12","Ciprofloxacin Low","c","C1_2","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","20","C1_2_c","True Sample"," 1.900"," 59674","11189","FALSE"," 6335",11,1.49720744732621,3.39524909584517,2.16194,11
"171","G7_T12_C1_2_d","12","Ciprofloxacin Low","d","C1_2","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","20","C1_2_d","True Sample"," 4.500"," 53777"," 9354","FALSE"," 8323",16,2.20699498728882,6.76814919816383,2.4962,16
"172","G7_T12_C1_3_a","12","Ciprofloxacin Low","a","C1_3","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","21","C1_3_a","True Sample"," 7.200"," 81095","16616","FALSE","14524",24,2.09370933649458,5.22410359606395,3.06774,24
"173","G7_T12_C1_3_b","12","Ciprofloxacin Low","b","C1_3","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","21","C1_3_b","True Sample","20.400"," 76412","14998","FALSE","14839",26,1.39880177339769,2.00085956927096,3.74193,26
"174","G7_T12_C1_3_c","12","Ciprofloxacin Low","c","C1_3","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","21","C1_3_c","True Sample"," 6.100"," 68132","13142","FALSE","10845",20,2.01896186352374,5.19515063858792,2.61215,20
"175","G7_T12_C1_3_d","12","Ciprofloxacin Low","d","C1_3","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","21","C1_3_d","True Sample"," 6.900"," 76692","15638","FALSE","15243",20,1.78309583548494,3.67798505266875,2.8406,20
"176","G7_T12_C2_1_a","12","Ciprofloxacin High","a","C2_1","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","22","C2_1_a","True Sample"," 5.800"," 87495","16761","FALSE","14752",26,2.32389377930687,5.42603254143644,3.19079,26
"177","G7_T12_C2_1_b","12","Ciprofloxacin High","b","C2_1","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","22","C2_1_b","True Sample"," 2.300"," 56592"," 5118","FALSE"," 4450",9,1.68920937437599,4.57484072092236,1.43342,9
"178","G7_T12_C2_1_c","12","Ciprofloxacin High","c","C2_1","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","22","C2_1_c","True Sample","11.200"," 79964","15395","FALSE","15224",14,2.19237251730928,6.49740493646837,1.96009,14
"179","G7_T12_C2_1_d","12","Ciprofloxacin High","d","C2_1","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","22","C2_1_d","True Sample"," 4.400"," 66941","11816","FALSE","10341",12,2.0124565193484,5.46173269755852,2.35839,12
"180","G7_T12_C2_2_a","12","Ciprofloxacin High","a","C2_2","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","23","C2_2_a","True Sample"," 7.400"," 92278","14132","FALSE","12794",10,1.09545549312097,2.0753711718326,1.40497,10
"181","G7_T12_C2_2_b","12","Ciprofloxacin High","b","C2_2","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","23","C2_2_b","True Sample"," 4.600"," 59197"," 9318","FALSE"," 8993",12,1.75248471323659,4.06956680275298,1.98121,12
"182","G7_T12_C2_2_c","12","Ciprofloxacin High","c","C2_2","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","23","C2_2_c","True Sample"," 3.000"," 68868","13247","FALSE"," 8287",11,1.74077642742248,4.86511374830548,2.1507,11
"183","G7_T12_C2_2_d","12","Ciprofloxacin High","d","C2_2","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","23","C2_2_d","True Sample"," 2.000"," 38215"," 7471","FALSE"," 5974",12,1.32327107110623,2.35717944056777,1.81754,12
"184","G7_T12_C2_3_a","12","Ciprofloxacin High","a","C2_3","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","24","C2_3_a","True Sample"," 2.400"," 63843","14918","FALSE","14824",14,1.94472335186866,5.55189130729274,2.76849,14
"185","G7_T12_C2_3_b","12","Ciprofloxacin High","b","C2_3","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","24","C2_3_b","True Sample"," 2.300"," 71460","10194","FALSE"," 2625",10,1.39069202542136,2.45310595922517,2.2307,10
"186","G7_T12_C2_3_c","12","Ciprofloxacin High","c","C2_3","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","24","C2_3_c","True Sample"," 4.600"," 70175","11126","FALSE","10275",9,1.60873838997455,3.82999949750407,1.42603,9
"187","G7_T12_C2_3_d","12","Ciprofloxacin High","d","C2_3","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","24","C2_3_d","True Sample"," 2.900"," 59731"," 9542","FALSE"," 6890",9,1.6195176106622,3.89589301192112,1.77647,9
"188","G7_T12_M1_1_a","12","Mixture Low","a","M1_1","Mixture","Low","Mixture Low","Mixture","Low","25","M1_1_a","True Sample","10.400"," 58956"," 6040","FALSE"," 5141",10,1.99808311317443,6.38324709140963,1.94778,10
"189","G7_T12_M1_1_b","12","Mixture Low","b","M1_1","Mixture","Low","Mixture Low","Mixture","Low","25","M1_1_b","True Sample"," 1.900"," 64293","11736","FALSE"," 4304",8,1.24427263687972,2.69580704020015,1.37643,8
"190","G7_T12_M1_1_c","12","Mixture Low","c","M1_1","Mixture","Low","Mixture Low","Mixture","Low","25","M1_1_c","True Sample"," 4.800"," 64712","10076","FALSE"," 9190",11,2.01212445997568,6.78024572695354,1.86306,11
"191","G7_T12_M1_1_d","12","Mixture Low","d","M1_1","Mixture","Low","Mixture Low","Mixture","Low","25","M1_1_d","True Sample"," 5.300"," 58454","11157","FALSE"," 7425",10,1.77135132778105,5.03165109806728,1.43854,10
"192","G7_T12_M1_2_a","12","Mixture Low","a","M1_2","Mixture","Low","Mixture Low","Mixture","Low","26","M1_2_a","True Sample"," 6.500"," 80766","12015","FALSE","11602",34,3.05397094422127,16.7936716071409,4.51033,34
"193","G7_T12_M1_2_b","12","Mixture Low","b","M1_2","Mixture","Low","Mixture Low","Mixture","Low","26","M1_2_b","True Sample"," 4.500"," 46210"," 4286","FALSE"," 3002",12,1.61149790653123,3.64661973063685,2.2764,12
"194","G7_T12_M1_2_c","12","Mixture Low","c","M1_2","Mixture","Low","Mixture Low","Mixture","Low","26","M1_2_c","True Sample"," 1.900"," 45143"," 4824","FALSE"," 2554",9,1.4514995348183,3.24747945319779,1.56206,9
"195","G7_T12_M1_3_a","12","Mixture Low","a","M1_3","Mixture","Low","Mixture Low","Mixture","Low","27","M1_3_a","True Sample"," 2.400"," 46118"," 4406","FALSE"," 2500",6,1.23676013632824,2.78532663191173,1.42283,6
"196","G7_T12_M1_3_b","12","Mixture Low","b","M1_3","Mixture","Low","Mixture Low","Mixture","Low","27","M1_3_b","True Sample"," 3.400"," 57878"," 7140","FALSE"," 7136",13,1.07684195321178,2.06645794890327,2.03423,13
"197","G7_T12_M1_3_c","12","Mixture Low","c","M1_3","Mixture","Low","Mixture Low","Mixture","Low","27","M1_3_c","True Sample"," 2.800"," 56958"," 5707","FALSE"," 3605",9,1.90939211437723,5.89933339839716,2.04928,9
"198","G7_T12_M1_3_d","12","Mixture Low","d","M1_3","Mixture","Low","Mixture Low","Mixture","Low","27","M1_3_d","True Sample"," 4.400"," 59135"," 7259","FALSE"," 5762",17,2.14457161266987,6.56115971909838,2.53805,17
"199","G7_T12_M2_1_a","12","Mixture High","a","M2_1","Mixture","High","Mixture High","Mixture","High","28","M2_1_a","True Sample"," 2.400"," 50322"," 8614","FALSE"," 6374",11,1.20698362148943,2.58557797699828,2.20183,11
"200","G7_T12_M2_1_b","12","Mixture High","b","M2_1","Mixture","High","Mixture High","Mixture","High","28","M2_1_b","True Sample"," 3.600"," 44504"," 7064","FALSE"," 5853",16,2.07690409789937,5.82584091352914,3.04696,16
"201","G7_T12_M2_1_c","12","Mixture High","c","M2_1","Mixture","High","Mixture High","Mixture","High","28","M2_1_c","True Sample"," 2.000"," 56244"," 8787","FALSE"," 7587",12,1.66376121123395,3.80856854798781,2.42265,12
"202","G7_T12_M2_1_d","12","Mixture High","d","M2_1","Mixture","High","Mixture High","Mixture","High","28","M2_1_d","True Sample","11.900"," 73239"," 8016","FALSE"," 7802",17,1.36275155672944,2.11511218893468,2.16923,17
"203","G7_T12_M2_2_b","12","Mixture High","b","M2_2","Mixture","High","Mixture High","Mixture","High","29","M2_2_b","True Sample"," 2.700"," 56236"," 8813","FALSE"," 7066",7,1.54595746916282,4.11923504816539,1.35763,7
"204","G7_T12_M2_2_c","12","Mixture High","c","M2_2","Mixture","High","Mixture High","Mixture","High","29","M2_2_c","True Sample"," 2.200"," 43155"," 9537","FALSE"," 9404",7,1.10557451144429,2.22495308018945,1.75498,7
"205","G7_T12_M2_2_d","12","Mixture High","d","M2_2","Mixture","High","Mixture High","Mixture","High","29","M2_2_d","True Sample"," 4.100"," 51692"," 6243","FALSE"," 4671",12,1.78448504014127,4.28826302049761,2.05077,12
"206","G7_T12_M2_3_a","12","Mixture High","a","M2_3","Mixture","High","Mixture High","Mixture","High","30","M2_3_a","True Sample"," 3.500"," 52846"," 2987","FALSE"," 2594",6,1.47626089384729,3.7066982203669,1.88382,6
"207","G7_T12_M2_3_b","12","Mixture High","b","M2_3","Mixture","High","Mixture High","Mixture","High","30","M2_3_b","True Sample"," 5.600"," 48992"," 5683","FALSE"," 5649",15,1.71154236172327,3.57951110750933,2.67814,15
"208","G7_T12_M2_3_c","12","Mixture High","c","M2_3","Mixture","High","Mixture High","Mixture","High","30","M2_3_c","True Sample"," 1.900"," 40412"," 8637","FALSE"," 6718",14,2.12747960731876,5.92214698200283,2.06376,14
"209","G7_T12_M2_3_d","12","Mixture High","d","M2_3","Mixture","High","Mixture High","Mixture","High","30","M2_3_d","True Sample"," 2.700"," 61315"," 8379","FALSE"," 3755",8,1.18873228557019,2.46800741661169,1.61261,8
"210","G7_T12_S1_1_a","12","Streptomycin Low","a","S1_1","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","13","S1_1_a","True Sample"," 2.500"," 69086","14253","FALSE","11155",13,1.91008366060385,4.73897893580731,2.51266,13
"211","G7_T12_S1_1_b","12","Streptomycin Low","b","S1_1","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","13","S1_1_b","True Sample"," 2.000"," 66919","12811","FALSE"," 9361",11,1.8273902874109,4.5811676626736,1.84774,11
"212","G7_T12_S1_1_c","12","Streptomycin Low","c","S1_1","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","13","S1_1_c","True Sample","19.300"," 77421","16898","FALSE","16720",26,2.70112156105548,10.2168506108451,3.13186,26
"213","G7_T12_S1_1_d","12","Streptomycin Low","d","S1_1","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","13","S1_1_d","True Sample"," 3.100"," 71205","16388","FALSE","13378",17,2.35534461724438,8.31790085461441,2.57931,17
"214","G7_T12_S1_2_a","12","Streptomycin Low","a","S1_2","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","14","S1_2_a","True Sample","10.800"," 58901","10780","FALSE","10697",27,2.16531461282775,4.53861032109034,3.40049,27
"215","G7_T12_S1_2_b","12","Streptomycin Low","b","S1_2","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","14","S1_2_b","True Sample"," 6.100"," 68373","13172","FALSE","13172",12,1.84983929429814,5.001040216365,1.90469,12
"216","G7_T12_S1_2_c","12","Streptomycin Low","c","S1_2","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","14","S1_2_c","True Sample"," 6.200"," 70297","15972","FALSE","14824",20,1.98762376810298,4.60312754898188,3.28329,20
"217","G7_T12_S1_2_d","12","Streptomycin Low","d","S1_2","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","14","S1_2_d","True Sample","17.400"," 69181","16682","FALSE","13089",34,2.79678940141803,9.58117245957128,3.90028,34
"218","G7_T12_S1_3_a","12","Streptomycin Low","a","S1_3","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","15","S1_3_a","True Sample"," 8.600"," 69096","13532","FALSE","13105",35,2.62886155946479,7.11144487492391,4.4832,35
"219","G7_T12_S1_3_b","12","Streptomycin Low","b","S1_3","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","15","S1_3_b","True Sample"," 4.400"," 54178"," 8362","FALSE"," 6076",15,2.05637391749721,5.46666754133347,1.99183,15
"220","G7_T12_S1_3_c","12","Streptomycin Low","c","S1_3","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","15","S1_3_c","True Sample","13.900"," 74233","14659","FALSE","13213",33,2.4684590311872,5.5960836368276,4.56319,33
"221","G7_T12_S1_3_d","12","Streptomycin Low","d","S1_3","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","15","S1_3_d","True Sample"," 2.100"," 55788","10209","FALSE"," 8135",10,1.53065472540649,3.23664650279051,1.73544,10
"222","G7_T12_S2_1_a","12","Streptomycin High","a","S2_1","Streptomycin","High","Streptomycin High","Streptomycin","High","16","S2_1_a","True Sample"," 8.000"," 71477","10159","FALSE"," 7833",9,1.68242219151339,4.17299292393936,2.13695,9
"223","G7_T12_S2_1_b","12","Streptomycin High","b","S2_1","Streptomycin","High","Streptomycin High","Streptomycin","High","16","S2_1_b","True Sample"," 2.800"," 55793"," 9018","FALSE"," 7269",8,1.03447629575719,2.30850618042509,1.46803,8
"224","G7_T12_S2_1_c","12","Streptomycin High","c","S2_1","Streptomycin","High","Streptomycin High","Streptomycin","High","16","S2_1_c","True Sample","14.400"," 73746","14745","FALSE","14263",17,2.45474661668454,7.69968991808762,2.8555,17
"225","G7_T12_S2_1_d","12","Streptomycin High","d","S2_1","Streptomycin","High","Streptomycin High","Streptomycin","High","16","S2_1_d","True Sample"," 2.700"," 83105","12803","FALSE"," 8548",14,1.90330116937181,4.53217116378904,2.33915,14
"226","G7_T12_S2_2_a","12","Streptomycin High","a","S2_2","Streptomycin","High","Streptomycin High","Streptomycin","High","17","S2_2_a","True Sample","13.200"," 77285","15992","FALSE","14687",20,1.44444566519725,2.24183800586178,2.71796,20
